コード,銘柄名,類似米国ETFティッカー
2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,GGOV
2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,EFGC
2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）,SPY
2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）,HSPX
2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース,SDS
2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,CRBN
2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信,TBT
2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ,SMOT
2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ,DIV
2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,KARS
2255,ｉシェアーズ　米国債２０年超　ＥＴＦ,TLT
2256,ｉシェアーズ　米国総合債券　ＥＴＦ,AGG
2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,LQD
2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,HYG
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,EFGC
233A,ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０,INDY
234A,グローバルＸ　ＭＳＣＩ　キャッシュフローキング－日本株式　ＥＴＦ,EWJ
235A,グローバルＸ　高配当３０－日本株式　ＥＴＦ,DXJ
236A,ｉシェアーズ　日本国債７－１０年　ＥＴＦ,JGBL
237A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ,EDV
238A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）,EDV
2510,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信,AGG
2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,IGOV
2512,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,IGOV
2513,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信,ACWI
2514,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信,ACWI
2515,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,RWX
2516,東証グロース２５０ＥＴＦ,IJT
2517,ＭＡＸＩＳ　Ｊリート・コア上場投信,VNQ
2518,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信,SHE
2519,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信,EMB
2520,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信,EEM
2521,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり,HSPX
2522,ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ,BOTZ
2523,ＭＡＸＩＳトピックス（除く金融）上場投信,XLK
2524,ＮＺＡＭ　上場投信　ＴＯＰＩＸ,EWJ
2525,ＮＺＡＭ　上場投信　日経２２５,NKY
2526,ＮＺＡＭ　上場投信　ＪＰＸ日経４００,EWJ
2527,ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数,VNQ
2528,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数,VNQ
2529,ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信,VYM
2530,ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,FXI
2552,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,VNQ
2553,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,ASHR
2554,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信,LQD
2555,東証ＲＥＩＴ　ＥＴＦ,VNQ
2556,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,VNQ
2557,ＳＭＤＡＭ　トピックス上場投信,EWJ
2558,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信,SPY
2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信,ACWI
2560,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信,CRBN
2561,ｉシェアーズ・コア　日本国債　ＥＴＦ,JGBL
2562,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり,HDGE
2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,HSPX
2564,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ,DXJ
2565,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ,VNQ
2566,上場インデックスファンド日経ＥＳＧリート,REET
